optimization	920	1.380458247000011E8	150049.80945652293
random	920	1.8262433467000708E8	198504.71159783378
bfd	920	1.380458247000011E8	150049.80945652293
optimization	1012	1.5842581375999677E8	156547.24679841578
random	1012	2.0307629607000268E8	200668.2767490145
bfd	1012	1.5842581375999677E8	156547.24679841578
optimization	962	1.3986363692999768E8	145388.39597712856
random	962	1.747547963000035E8	181657.79241164605
bfd	962	1.3986363692999768E8	145388.39597712856
optimization	1288	1.564497305800071E8	121467.18212733472
random	1288	1.9909035158001548E8	154573.25433231014
bfd	1288	1.564497305800071E8	121467.18212733472
